"id","color_blind","yrs_english","video_games","device","headphones","order_of_levels","level1","sleep1","OffTime1","OnTime1","Total_runs_Stroop_Off1","Total_runs_Stroop_On1","OnTime_minus_OffTime1","level2","sleep2","OffTime2","OnTime2","Total_runs_Stroop_Off2","Total_runs_Stroop_On2","OnTime_minus_OffTime2","level3","sleep3","OffTime3","OnTime3","Total_runs_Stroop_Off3","Total_runs_Stroop_On3","OnTime_minus_OffTime3","distraction1","distraction2","distraction3","start_time1_hour","start_time2_hour","start_time3_hour"
1,"No",12,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,47.379,50.003,7,7,2.624,"lyrics",8,46.169,48.313,5,5,2.144,"classical",8,44.765,45.911,7,7,1.146,"control","lyrics","classical","afternoon","afternoon","afternoon"
2,"No",7,"No","Android phone","In-ear headphones; not noise cancelling","","control",8,61.675,74.913,5,5,13.238,"classical",8,64.676,64.676,6,6,25.934,"lyrics",8,70.651,82.432,7,7,11.781,"","","","morning","morning","morning"
3,"No",4,"No","iPhone / iPod","Over-ear headphones; noise cancelling","","control",9,75.542,82.57,5,5,7.028,"lyrics",9,79.855,88.525,5,5,8.67,"classical",8,77.63,83.015,5,5,5.385,"","","","afternoon","afternoon","afternoon"
4,"No",5,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,62.823,75.34,5,5,12.518,"lyrics",7,65.072,75.898,5,5,10.826,"classical",7,64.517,73.342,6,6,8.825,"control","lyrics","classical","morning","morning","morning"
5,"No",18,"No","Android phone","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,48.707,61.569,5,5,12.862,"control",8,50.179,54.965,5,5,4.786,"lyrics",8,47.539,55.176,5,5,7.637,"classical","control","lyrics","morning","morning","morning"
6,"No",4,"Yes","iPhone / iPod","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,55.982,65.715,5,5,9.733,"classical",7,54.149,58.828,5,5,4.679,"control",7,54.655,63.137,5,5,8.482,"lyrics","classical","control","afternoon","afternoon","afternoon"
7,"No",17,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","","control",7,40.78,44.449,21,21,3.67,"classical",7,44.229,45.964,16,16,1.735,"lyrics",7,38.798,42.046,9,9,3.248,"","","","afternoon","afternoon","afternoon"
8,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",10,54.597,73.384,5,5,18.787,"classical",10,58.037,66.203,6,6,8.166,"lyrics",10,57.47,65.333,5,5,7.863,"","","","morning","morning","morning"
9,"Yes",3,"Yes","iPad tablet","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,65.122,64.081,5,5,-1.041,"lyrics",8,59.274,63.402,7,7,4.128,"classical",8,64.517,61.536,6,6,-2.981,"control","lyrics","classical","morning","morning","morning"
10,"No",5,"No","iPad tablet","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,59.321,68.984,5,5,9.663,"classical",7,57.499,60.073,5,5,2.574,"lyrics",7,57.778,62.856,6,6,5.079,"control","classical","lyrics","afternoon","afternoon","afternoon"
11,"No",3,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","classical",10,64.064,79.917,5,5,15.853,"lyrics",10,64.075,70.041,5,5,5.966,"control",10,57.744,60.586,5,5,2.842,"classical","lyrics","control","afternoon","afternoon","afternoon"
12,"No",10,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,59.2,68.705,5,5,9.505,"classical",7,60.21,57.56,5,5,-2.65,"lyrics",7,59.385,60.465,5,5,1.08,"control","classical","lyrics","evening","evening","evening"
13,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,52.476,65.214,5,5,12.738,"lyrics",9,54.443,60.627,6,6,6.183,"classical",9,53.559,52.176,6,6,-1.383,"control","lyrics","classical","afternoon","afternoon","afternoon"
14,"No",12,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","","control",7,53.057,49.907,5,5,-3.15,"classical",7,50.013,50.883,5,5,0.869,"lyrics",7,47.418,50.625,7,7,3.207,"","","","afternoon","afternoon","afternoon"
15,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",9,57.41,60.796,7,7,3.387,"control",9,55.584,62.405,5,5,6.821,"lyrics",9,54.826,58.455,5,5,3.628,"classical","control","lyrics","evening","evening","evening"
16,"No",8,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,70.689,90.378,5,5,19.689,"lyrics",7,74.808,83.99,5,5,9.182,"classical",7,74.808,83.99,5,5,9.182,"control","lyrics","classical","afternoon","afternoon","afternoon"
17,"No",6,"No","Android phone","In-ear headphones; not noise cancelling","","control",8,49.166,55.254,5,5,6.088,"classical",8,51.532,54.891,5,5,3.359,"lyrics",8,46.468,49.934,5,5,3.466,"","","","evening","evening","evening"
18,"No",7,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7.5,58.41,68.398,5,5,9.988,"lyrics",7.5,56.341,64.575,5,5,8.234,"classical",7.5,58.102,62.024,5,5,3.922,"control","lyrics","classical","evening","evening","evening"
19,"No",8,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",9.5,46.513,46.738,6,6,0.225,"control",9.5,38.728,46.292,6,6,11.564,"lyrics",9.5,43.108,38.584,5,5,-4.524,"classical","control","lyrics","afternoon","afternoon","afternoon"
20,"No",16,"No","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,58.707,60.834,5,5,2.127,"classical",8,51.562,55.042,5,5,3.48,"lyrics",8,48.819,48.725,5,5,-0.094,"control","classical","lyrics","evening","evening","evening"
21,"No",5,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,64.422,68.845,5,5,4.422,"lyrics",8,70.973,74.591,5,5,3.618,"classical",8,62.503,66.603,5,5,4.1,"control","lyrics","classical","afternoon","afternoon","afternoon"
22,"No",19,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,44.871,54.092,6,6,9.221,"lyrics",7,42.52,50.446,6,6,7.926,"classical",7,46.416,51.818,6,6,5.402,"control","lyrics","classical","evening","evening","evening"
23,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",8,48.333,50.329,8,8,1.996,"lyrics",8,49.112,49.967,7,7,0.855,"classical",8,47.351,47.836,5,5,0.484,"","","","evening","evening","evening"
24,"No",15,"No","iPad tablet","Over-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",6,53.592,56.983,11,11,3.391,"classical",6,55.44,60.68,6,6,5.241,"control",6,52.866,57.312,11,11,4.447,"lyrics","classical","control","evening","evening","afternoon"
25,"No",5,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","","control",10,56.938,60.618,10,10,3.68,"classical",10,51.24,52.274,10,10,1.034,"lyrics",10,49.983,52.905,6,6,2.922,"","","","evening","morning","evening"
26,"No",4,"Yes","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,57.557,65.089,6,6,7.532,"classical",8,58.263,55.857,5,5,-2.407,"lyrics",8,57.245,63.957,7,7,6.713,"control","classical","lyrics","evening","evening","evening"
27,"No",5,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",7,50.69,58.225,9,9,7.536,"classical",7,57.703,61.188,8,8,3.485,"lyrics",7,59.66,66.343,11,11,6.683,"","","","morning","morning","morning"
28,"No",7,"Yes","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",5.5,59.355,68.949,5,5,9.594,"lyrics",5.5,57.37,58.717,5,5,1.347,"classical",5.5,54.17,62.17,5,5,8,"control","lyrics","classical","evening","evening","evening"
29,"No",6,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,44.934,48.164,7,7,3.23,"lyrics",8,41.127,43.698,9,9,2.57,"classical",8,39.285,45.737,5,5,6.452,"control","lyrics","classical","evening","morning","morning"
30,"No",17,"No","iPad tablet","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,43.034,49.521,5,5,6.487,"classical",7,43.178,44.558,5,5,1.388,"control",7,41.26,43.353,5,5,2.094,"lyrics","classical","control","morning","morning","morning"
31,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",6,60,90,5,5,30,"classical",6,70,90,5,5,20,"lyrics",6,75,95,5,5,20,"control","classical","lyrics","evening","evening","evening"
32,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling","","control",8,65.914,82.242,5,5,16.328,"classical",8,67.873,72.201,5,5,4.329,"lyrics",8,65.844,85.561,6,6,19.717,"","","","morning","morning","morning"
33,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,58.646,72.688,6,6,14.043,"lyrics",8,60.809,66.892,7,7,6.082,"classical",8,59.48,61.53,5,5,2.05,"control","lyrics","classical","afternoon","afternoon","afternoon"
34,"No",6,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",6,59.428,65.819,6,6,6.387,"lyrics",6,56.561,63.715,5,5,7.154,"classical",6,55.465,61.847,5,5,6.382,"control","lyrics","classical","evening","evening","evening"
35,"No",8,"Yes","Android phone","In-ear headphones; noise cancelling","","control",8,63.775,86.652,8,8,22.877,"lyrics",8,58.253,76.497,5,5,18.244,"classical",8,55.039,72.708,5,5,17.669,"","","","afternoon","afternoon","afternoon"
36,"No",16,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,66.446,72.914,6,6,6.467,"classical",8,58.412,74.849,7,7,16.436,"lyrics",8,61.265,64.047,6,6,2.782,"control","classical","lyrics","evening","evening","evening"
37,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,61.042,62.32,5,5,1.278,"lyrics",7,60.624,66.755,7,7,6.131,"classical",7,67.178,65.705,6,6,-1.473,"control","lyrics","classical","afternoon","afternoon","afternoon"
38,"No",7,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",10,43.112,49.378,8,8,6.267,"classical",10,42.012,43.625,7,7,1.613,"lyrics",10,43.133,43.771,7,7,0.637,"control","classical","lyrics","afternoon","afternoon","afternoon"
39,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,53.16,66.096,5,5,12.936,"lyrics",7,51.967,67.324,6,6,15.356,"classical",7,48.698,56.265,5,5,7.568,"control","lyrics","classical","evening","evening","evening"
40,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","lyrics",8.5,62.703,63.815,6,6,1.111,"control",8.5,59.879,66.752,5,5,6.873,"classical",8.5,61.35,63.202,5,5,1.852,"lyrics","control","classical","evening","evening","evening"
41,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,57.096,73.209,6,6,16.113,"lyrics",8,72.522,76.608,5,5,4.086,"classical",8,63.52,71.39,5,5,7.87,"control","lyrics","classical","morning","morning","morning"
42,"No",4,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",12,59.135,73.403,5,5,14.268,"lyrics",12,57.638,65.235,5,5,7.592,"classical",12,57.71,69.637,5,5,11.927,"control","lyrics","classical","evening","evening","evening"
43,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,62.085,76.32,5,5,14.235,"lyrics",8,62.45,65.634,5,5,3.184,"classical",8,56.9,64.779,5,5,7.878,"control","lyrics","classical","evening","evening","evening"
44,"No",7,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","","control",6,46.323,51.817,6,6,5.494,"lyrics",6,43.001,47.8,5,5,4.8,"classical",6,42.406,51.447,5,5,9.041,"","","","afternoon","afternoon","afternoon"
45,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,47.726,50.895,6,6,3.17,"lyrics",7,47.448,53.969,6,6,6.521,"classical",7,45.983,48.044,6,6,2.061,"control","lyrics","classical","evening","evening","evening"
46,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",8,50.503,60.853,5,5,10.35,"lyrics",8,49.129,61.407,5,5,12.277,"classical",8,50.121,54.166,8,8,4.045,"","","","evening","evening","evening"
47,"No",14,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,60.596,56.876,7,7,-3.72,"lyrics",9,55.827,63.426,9,9,7.599,"classical",9,50.972,59.825,5,5,8.853,"control","lyrics","classical","morning","morning","morning"
48,"No",4,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,56.101,62.819,7,7,6.718,"lyrics",8,53.515,62.697,9,9,9.182,"classical",8,55.162,59.435,6,6,4.274,"control","classical","lyrics","evening","evening","evening"
49,"No",10,"Yes","Android phone","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","lyrics",5,60.755,74.557,5,5,13.802,"control",5,62.438,75.747,5,5,13.309,"classical",5,65.292,73.546,5,5,8.254,"lyrics","control","classical","evening","afternoon","evening"
50,"No",4,"No","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,58.931,82.433,5,5,23.502,"classical",7,68.291,86.641,5,5,18.35,"lyrics",7,64.307,69.609,5,5,5.303,"control","classical","lyrics","evening","evening","evening"
51,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","classical",7,61.011,68.933,11,11,7.922,"lyrics",5,60.08,63.202,6,6,3.121,"control",7,56.05,62.18,6,6,6.131,"classical","lyrics","control","evening","morning","evening"
52,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,64.646,68.636,5,5,3.992,"lyrics",8,65.343,70.544,5,5,5.201,"classical",8,65.637,69.957,5,5,4.32,"control","lyrics","classical","evening","evening","evening"
53,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,55.64,64.575,5,5,8.935,"lyrics",7,51.421,53.795,6,6,2.374,"classical",7,52.127,63.934,5,5,11.807,"control","lyrics","classical","afternoon","afternoon","afternoon"
54,"No",6,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",10,64.852,60.342,5,5,-4.51,"classical",10,64.789,67.472,5,5,2.683,"lyrics",10,59.323,60.446,6,6,1.123,"control","classical","lyrics","evening","evening","evening"
55,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",7,62.161,78.418,5,5,16.257,"lyrics",7,60.98,86.616,6,6,25.636,"classical",7,68.801,78.9,6,6,10.099,"","","","afternoon","afternoon","afternoon"
56,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,52.937,72.799,5,5,19.863,"lyrics",7,64.355,65.455,6,6,1.1,"classical",7,52.983,61.05,5,5,8.067,"control","lyrics","classical","morning","morning","morning"
57,"No",8,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","","control",6,49,52.736,6,6,2.836,"lyrics",6,42.085,42.732,6,6,0.648,"classical",6,43.058,52.059,11,11,9.002,"","","","afternoon","afternoon","afternoon"
58,"No",4,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,53.561,55.167,5,5,1.606,"classical",7,48.986,59.549,9,9,10.563,"control",7,48.6,63.107,5,5,14.507,"lyrics","classical","control","evening","evening","evening"
59,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",8,51.108,57.302,6,6,6.193,"classical",8,45.032,50.686,5,5,5.653,"control",8,46.593,45.332,6,6,-1.261,"lyrics","classical","control","afternoon","afternoon","afternoon"
60,"No",6,"No","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",9,64.282,67.526,5,5,3.244,"classical",9,62.878,74.753,6,6,11.875,"control",9,59.464,67.308,7,7,7.844,"lyrics","classical","control","afternoon","afternoon","afternoon"
61,"No",18,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","","control",6,47.787,52.47,5,5,4.683,"classical",6,43.332,47.893,6,6,4.561,"lyrics",6,43.393,50.888,5,5,7.495,"","","","afternoon","afternoon","afternoon"
62,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",9,63.706,62.831,8,8,-0.875,"classical",9,58.762,62.393,7,7,3.631,"lyrics",9,58.441,70.672,5,5,12.231,"","","","afternoon","afternoon","afternoon"
63,"No",4,"Yes","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","lyrics",6,53.741,58.63,5,5,4.889,"control",6,51.668,55.224,5,5,3.556,"classical",6,46.927,52.892,5,5,5.965,"lyrics","control","classical","morning","morning","morning"
64,"No",15,"No","iPhone / iPod","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,54.925,71.675,6,6,16.75,"classical",7,61.895,63.709,5,5,1.814,"control",9,55.649,68.191,5,5,12.543,"lyrics","classical","control","afternoon","evening","morning"
65,"No",16,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",9,60.732,68.133,8,8,7.401,"classical",9,55.163,61.198,6,6,6.035,"lyrics",9,50.501,60.396,8,8,9.895,"control","classical","lyrics","evening","evening","evening"
66,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,55.635,64.715,5,5,9.08,"classical",7,57.885,61.71,5,5,3.825,"lyrics",7,60.71,60.32,5,5,-0.389999999999993,"control","classical","lyrics","evening","afternoon","afternoon"
67,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,62.486,69.903,6,6,7.417,"lyrics",9,55.643,67.244,5,5,11.601,"classical",9,56.125,62.655,5,5,6.53,"control","lyrics","classical","afternoon","afternoon","afternoon"
68,"No",4,"Yes","iPad tablet","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",6,46.423,51.247,5,5,4.824,"lyrics",6,44.28,40.749,5,5,-3.532,"classical",6,40.698,44.014,6,6,3.316,"lyrics","classical","control","afternoon","afternoon","afternoon"
69,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,60.174,72.374,5,5,12.2,"control",8,61.929,61.739,5,5,-0.19,"lyrics",8,58.824,66.793,5,5,7.969,"classical","control","lyrics","evening","evening","evening"
70,"No",17,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",6,48.742,55.761,5,5,7.019,"lyrics",6,45.96,53.425,5,5,7.465,"classical",6,46.507,52.875,5,5,6.368,"control","lyrics","classical","evening","morning","morning"
71,"No",4,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,51.193,57.235,7,7,6.042,"lyrics",8,47.983,56.477,9,9,8.494,"classical",8,46.76,51.594,7,7,4.834,"control","lyrics","classical","evening","afternoon","afternoon"
72,"No",18,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,54.248,70.825,5,5,16.577,"lyrics",8,52.843,74.112,6,6,21.269,"classical",8,49.804,73.3,5,5,23.496,"control","lyrics","classical","evening","morning","morning"
